sentence,label,,,,,,,,,,,,
えらい！,1,,,,,,,,,,,,
ダッシュで帰ってまーす,2,,,,,,,,,,,,
帰りまーす,3,,,,,,,,,,,,
間違いなく今日一日で太ります。,4,,,,,,,,,,,,
そして,5,,,,,,,,,,,,
ちょっとお楽しみに出かけてきます,6,,,,,,,,,,,,
進撃の巨人みてたら,7,,,,,,,,,,,,
かんげんも見だして笑怖いのでしょうね,8,,,,,,,,,,,,
目を覆いながら見てますパパ出かけるけど,9,,,,,,,,,,,,
みてる？,10,,,,,,,,,,,,
と聞くと,11,,,,,,,,,,,,
しばらく考えて,12,,,,,,,,,,,,
みるー,13,,,,,,,,,,,,
と力強く答えました笑笑お楽しみサクッとおえて,14,,,,,,,,,,,,
早めに帰ろうと思います,15,,,,,,,,,,,,
マンゴー,16,,,,,,,,,,,,
進撃の巨人。,17,,,,,,,,,,,,
今日は見続けてます笑笑,18,,,,,,,,,,,,
人類の先のお話の様です。,19,,,,,,,,,,,,
巨人と人類の戦い流行っていたの分かりますね！,20,,,,,,,,,,,,
見始めると止まらないっす。,21,,,,,,,,,,,,
たまらないっす,22,,,,,,,,,,,,
ブロリーと戦うの作ってるのー,23,,,,,,,,,,,,
そして彼好みのおやつはコレ！,24,,,,,,,,,,,,
シンプルなものが好きのようです,25,,,,,,,,,,,,
餌の時間,26,,,,,,,,,,,,
届くようになってきたね,27,,,,,,,,,,,,
ポップコーン,28,,,,,,,,,,,,
これも目的だったのかしらん、おかえり,29,,,,,,,,,,,,
起きてたべなさいふむお勉強お疲れ,30,,,,,,,,,,,,
暑いっすね今日も,31,,,,,,,,,,,,
少しフラッとして帰ろうね…,32,,,,,,,,,,,,
あはは,33,,,,,,,,,,,,
と言われまして,34,,,,,,,,,,,,
グダグダしてたら怒られた,35,,,,,,,,,,,,
連れ出されました,36,,,,,,,,,,,,
たしかにグダグダすることが,37,,,,,,,,,,,,
あまりないので,38,,,,,,,,,,,,
麗禾的にはダメらしいです笑笑,39,,,,,,,,,,,,
ありがとう,40,,,,,,,,,,,,
少し勉強しそれからはダメ男してます。,41,,,,,,,,,,,,
クッチャネしてます進撃の巨人はじめて見てます！,42,,,,,,,,,,,,
見続けてます。,43,,,,,,,,,,,,
楽しい…,44,,,,,,,,,,,,
そして,45,,,,,,,,,,,,
まんじゅう、ダメ男してます。,46,,,,,,,,,,,,
ありがとう。,1,,,,,,,,,,,,
麗禾とコッソリ買っちゃいました、イクラ丼ラブです,2,,,,,,,,,,,,
今日は、海鮮の日でございまする,3,,,,,,,,,,,,
幸せ、お買い物して帰ろうね,4,,,,,,,,,,,,
ちょいと行って来ます,5,,,,,,,,,,,,
いこうね,6,,,,,,,,,,,,
さ！,7,,,,,,,,,,,,
朝トレ！,8,,,,,,,,,,,,
おす！,9,,,,,,,,,,,,
食べよう,10,,,,,,,,,,,,
朝から気合い完璧注入させてもらいました,11,,,,,,,,,,,,
席着きましたー,12,,,,,,,,,,,,
さぁ！,13,,,,,,,,,,,,
食べちゃお,14,,,,,,,,,,,,
ついてから結構歩きます,15,,,,,,,,,,,,
いこか,16,,,,,,,,,,,,
着々と大きく成長してます,17,,,,,,,,,,,,
すごく嬉しい,18,,,,,,,,,,,,
少し早起き,19,,,,,,,,,,,,
今日は早起きの日です,20,,,,,,,,,,,,
なぜならば,21,,,,,,,,,,,,
お出かけでございます,22,,,,,,,,,,,,
2人も起こすという約束なので,23,,,,,,,,,,,,
起こさないと,24,,,,,,,,,,,,
起きるのか？,25,,,,,,,,,,,,
それが疑問だ、、今日も多くの方々が幸せで,26,,,,,,,,,,,,
愛を感じる,27,,,,,,,,,,,,
ステキな1日でありますように,28,,,,,,,,,,,,
ライオンキングとアラジン見たのですが、私も大変勉強になりました。,29,,,,,,,,,,,,
面識はないのですが,30,,,,,,,,,,,,
この間 お亡くなりになった浅利慶太さんという方の演劇に対する思考を感じました。,31,,,,,,,,,,,,
１つの舞台を作る上でとても重要な感覚を,32,,,,,,,,,,,,
この２つの舞台で学べた事,33,,,,,,,,,,,,
そして役者さん達の根幹にある芝居愛と劇団四季愛みたいなものも感じました。,34,,,,,,,,,,,,
子供のためにと思い見にいきましたが,35,,,,,,,,,,,,
私の方が勉強になってしまいました、もちろん2人も大喜び！,36,,,,,,,,,,,,
麗禾はアラジンが勸玄はライオンキングが好きだそうです,37,,,,,,,,,,,,
なんかわかるなー親子の物語と世襲のライオンキングと,38,,,,,,,,,,,,
お姫様とアラジンの恋の物語。,39,,,,,,,,,,,,
各々が感じる部分があって,40,,,,,,,,,,,,
私本当に嬉しいです。,41,,,,,,,,,,,,
月動いてるなー,42,,,,,,,,,,,,
と感じる事好きです。,43,,,,,,,,,,,,
月は地球の衛星地球は太陽の惑星天体って不思議ですよね父が好きだった理由がよくわかりますよく昔の人は天動説と地動説とか意見分かれたそうでそれを確かガリレオさんが,44,,,,,,,,,,,,
