sentence,label
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
かっこいい？,1
ほめて,2
きいて,3
